;clarity;color;colorINT;ClarityINT;carat;depth;table;price;x;y;z;cutINT;cut;Colors;ColorsNum;Clarities;ClaritiesNum
51;SI1;F;3;7;0.24;60.9;61;404;04.2;04.3;2.45;2;Very Good;;;;
52;VS1;G;4;5;0.23;61.9;54;404;3.93;3.95;2.44;4;Ideal;;;;
53;SI1;I;6;7;0.32;60.9;55;404;4.45;4.48;2.72;4;Ideal;;;;
54;VS2;E;2;6;0.22;61.6;58;404;3.93;3.89;2.41;3;Premium;;;;
55;VS2;D;1;6;0.22;59.3;62;404;3.91;3.88;2.31;3;Premium;;;;
56;SI2;I;6;8;0.3;61;59;405;04.3;4.33;2.63;4;Ideal;;;;
57;SI2;J;7;8;0.3;59.3;61;405;4.43;4.38;2.61;3;Premium;;;;
58;SI1;I;6;7;0.3;62.6;57;405;4.25;4.28;2.67;2;Very Good;;;;
59;SI1;I;6;7;0.3;63;57;405;4.28;4.32;2.71;2;Very Good;;;;
60;SI1;I;6;7;0.3;63.2;55;405;4.25;4.29;02.7;1;Good;;;;
61;VS1;I;6;5;0.35;60.9;57;552;4.54;4.59;2.78;4;Ideal;;;;
62;SI1;D;1;7;0.3;62.6;59;552;4.23;4.27;2.66;3;Premium;;;;
63;SI1;D;1;7;0.3;62.5;57;552;4.29;4.32;2.69;4;Ideal;;;;
64;SI1;D;1;7;0.3;62.1;56;552;04.3;4.33;2.68;4;Ideal;;;;
65;SI2;I;6;8;0.42;61.5;59;552;4.78;4.84;2.96;3;Premium;;;;
66;VVS2;G;4;4;0.28;61.4;56;553;4.19;4.22;2.58;4;Ideal;;;;
67;VVS1;I;6;3;0.32;62;55.3;553;4.39;4.42;2.73;4;Ideal;;;;
68;SI1;G;4;7;0.31;63.3;57;553;4.33;04.3;2.73;2;Very Good;;;;
69;SI1;G;4;7;0.31;61.8;58;553;4.35;4.32;2.68;3;Premium;;;;
70;VVS1;E;2;3;0.24;60.7;58;553;04.1;04.3;2.44;3;Premium;;;;
71;VVS1;D;1;3;0.24;61.5;60;553;3.97;4;2.45;2;Very Good;;;;
72;SI1;H;5;7;0.3;63.1;56;554;4.29;4.27;02.7;2;Very Good;;;;
73;SI1;H;5;7;0.3;62.9;59;554;4.28;4.24;2.68;3;Premium;;;;
74;SI1;H;5;7;0.3;62.5;57;554;4.29;4.25;2.67;3;Premium;;;;
75;SI1;H;5;7;0.3;63.7;57;554;4.28;4.26;2.72;1;Good;;;;
76;VVS2;F;3;4;0.26;59.2;60;554;4.19;4.22;2.49;2;Very Good;;;;
77;VVS2;E;2;4;0.26;59.9;58;554;4.15;4.23;2.51;2;Very Good;;;;
78;VVS2;D;1;4;0.26;62.4;54;554;04.8;4.13;2.56;2;Very Good;;;;
79;VVS2;D;1;4;0.26;62.8;60;554;04.1;04.5;2.53;2;Very Good;;;;
80;VVS1;E;2;3;0.26;62.6;59;554;04.6;04.9;2.55;2;Very Good;;;;
81;VVS1;E;2;3;0.26;63.4;59;554;4;04.4;2.55;2;Very Good;;;;
82;VVS1;D;1;3;0.26;62.1;60;554;04.3;04.12;2.53;2;Very Good;;;;
83;VVS2;E;2;4;0.26;62.9;58;554;04.2;04.6;2.54;4;Ideal;;;;
84;SI2;I;6;8;0.38;61.6;56;554;4.65;4.67;2.87;4;Ideal;;;;
85;VVS1;E;2;3;0.26;57.9;60;554;4.22;4.25;2.45;1;Good;;;;
86;VVS1;G;4;3;0.24;62.3;59;554;3.95;3.92;2.45;3;Premium;;;;
87;VVS1;H;5;3;0.24;61.2;58;554;04.1;3.96;2.44;3;Premium;;;;
88;VVS1;H;5;3;0.24;60.8;59;554;04.2;4;2.44;3;Premium;;;;
89;VVS2;H;5;4;0.24;60.7;58;554;04.7;04.4;2.46;3;Premium;;;;
90;SI1;I;6;7;0.32;62.9;58;554;4.35;4.33;2.73;3;Premium;;;;
91;SI1;E;2;7;0.7;62.5;57;2757;05.7;5.72;3.57;4;Ideal;;;;
92;SI2;E;2;8;0.86;55.1;69;2757;6.45;6.33;3.52;0;Fair;;;;
93;VS2;G;4;6;0.7;61.6;56;2757;05.7;5.67;03.5;4;Ideal;;;;
94;VS2;E;2;6;0.71;62.4;57;2759;5.68;5.73;3.56;2;Very Good;;;;
95;SI2;G;4;8;0.78;63.8;56;2759;5.81;5.85;3.72;2;Very Good;;;;
96;VS2;E;2;6;0.7;57.5;58;2759;5.85;05.9;3.38;1;Good;;;;
97;VS1;F;3;5;0.7;59.4;62;2759;5.71;5.76;03.4;1;Good;;;;
98;SI2;F;3;8;0.96;66.3;62;2759;6.27;5.95;04.7;0;Fair;;;;
99;SI1;E;2;7;0.73;61.6;59;2760;5.77;5.78;3.56;2;Very Good;;;;
100;SI1;H;5;7;0.8;61.5;58;2760;5.97;5.93;3.66;3;Premium;;;;
101;SI1;D;1;7;0.75;63.2;56;2760;05.8;5.75;3.65;2;Very Good;;;;
102;SI1;E;2;7;0.75;59.9;54;2760;6;5.96;3.58;3;Premium;;;;
103;SI1;G;4;7;0.74;61.6;55;2760;05.8;5.85;3.59;4;Ideal;;;;
104;VS2;G;4;6;0.75;61.7;58;2760;5.85;5.79;3.59;3;Premium;;;;
105;VS1;I;6;5;0.8;62.9;56;2760;5.94;5.87;3.72;4;Ideal;;;;
106;SI1;G;4;7;0.75;62.2;55;2760;5.87;05.8;3.63;4;Ideal;;;;
107;SI1;G;4;7;0.8;63;59;2760;05.9;5.81;3.69;3;Premium;;;;
108;VVS2;I;6;4;0.74;62.3;55;2761;5.77;5.81;3.61;4;Ideal;;;;
109;SI2;F;3;8;0.81;58.8;57;2761;6.14;06.11;03.6;4;Ideal;;;;
110;VVS2;E;2;4;0.59;62;55;2761;5.38;5.43;3.35;4;Ideal;;;;
111;SI2;F;3;8;0.8;61.4;57;2761;5.96;6;3.67;4;Ideal;;;;
112;SI2;E;2;8;0.74;62.2;56;2761;05.8;5.84;3.62;4;Ideal;;;;
113;VS2;I;6;6;0.9;63;58;2761;6.16;06.12;3.87;3;Premium;;;;
114;SI1;G;4;7;0.74;62.2;59;2762;5.73;5.82;3.59;2;Very Good;;;;
115;VS2;F;3;6;0.73;62.6;56;2762;5.77;5.74;03.6;4;Ideal;;;;
116;VS2;F;3;6;0.73;62.7;53;2762;05.8;5.75;3.62;4;Ideal;;;;
117;SI2;F;3;8;0.8;61.7;58;2762;5.98;5.94;3.68;3;Premium;;;;
118;VS2;G;4;6;0.71;62.4;54;2762;5.72;5.76;3.58;4;Ideal;;;;
119;VS2;E;2;6;0.7;60.7;58;2762;5.73;5.76;3.49;4;Ideal;;;;
120;SI2;F;3;8;0.8;59.9;59;2762;06.1;06.7;3.62;4;Ideal;;;;
121;SI2;D;1;8;0.71;62.3;56;2762;5.73;5.69;3.56;4;Ideal;;;;
122;SI1;E;2;7;0.74;62.3;54;2762;05.8;5.83;3.62;4;Ideal;;;;
123;VS2;F;3;6;0.7;61.7;63;2762;5.64;5.61;3.47;2;Very Good;;;;
124;VS2;F;3;6;0.7;64.5;57;2762;5.57;5.53;3.58;0;Fair;;;;
125;VS2;F;3;6;0.7;65.3;55;2762;5.63;5.58;3.66;0;Fair;;;;
126;VS2;F;3;6;0.7;61.6;60;2762;5.65;5.59;3.46;3;Premium;;;;
127;SI1;H;5;7;0.91;61.4;56;2763;06.9;5.97;03.7;3;Premium;;;;
128;VVS2;D;1;4;0.61;59.6;57;2763;5.56;5.58;3.32;2;Very Good;;;;
129;SI2;H;5;8;0.91;64.4;57;2763;06.11;06.9;3.93;0;Fair;;;;
130;SI2;H;5;8;0.91;65.7;60;2763;06.3;5.99;3.95;0;Fair;;;;
131;VS2;H;5;6;0.77;62;56;2763;5.89;5.86;3.64;4;Ideal;;;;
132;SI1;D;1;7;0.71;63.6;58;2764;5.64;5.68;03.6;2;Very Good;;;;
133;SI1;D;1;7;0.71;61.9;59;2764;5.69;5.72;3.53;4;Ideal;;;;
134;VS2;E;2;6;0.7;62.6;60;2765;5.62;5.65;3.53;2;Very Good;;;;
135;VS1;H;5;5;0.77;61.3;60;2765;5.88;05.9;3.61;2;Very Good;;;;
136;VVS1;E;2;3;0.63;60.9;60;2765;5.52;5.55;3.37;3;Premium;;;;
137;VS1;F;3;5;0.71;60.1;62;2765;5.74;5.77;3.46;2;Very Good;;;;
138;VS1;F;3;5;0.71;61.8;59;2765;5.69;5.73;3.53;3;Premium;;;;
139;SI1;H;5;7;0.76;61.2;57;2765;5.88;5.91;3.61;4;Ideal;;;;
140;VVS1;G;4;3;0.64;61.9;56;2766;5.53;5.56;3.43;4;Ideal;;;;
141;VS2;G;4;6;0.71;60.9;57;2766;5.78;5.75;3.51;3;Premium;;;;
142;VS2;G;4;6;0.71;59.8;56;2766;5.89;5.81;03.5;3;Premium;;;;
143;VS2;D;1;6;0.7;61.8;55;2767;5.68;5.72;3.52;2;Very Good;;;;
144;VS1;F;3;5;0.7;60;57;2767;05.8;5.87;03.5;2;Very Good;;;;
145;SI2;D;1;8;0.71;61.6;55;2767;5.74;5.76;3.54;4;Ideal;;;;
146;VVS2;H;5;4;0.7;62.1;64;2767;5.62;5.65;03.5;1;Good;;;;
147;VS1;G;4;5;0.71;63.3;59;2768;5.52;5.61;3.52;2;Very Good;;;;
148;SI1;D;1;7;0.73;60.2;56;2768;5.83;5.87;3.52;2;Very Good;;;;
149;SI1;D;1;7;0.7;61.1;58;2768;5.66;5.73;3.48;2;Very Good;;;;
150;SI1;E;2;7;0.7;60.9;57;2768;5.73;5.76;03.5;4;Ideal;;;;
151;SI2;D;1;8;0.71;61.7;59;2768;5.71;5.67;3.51;3;Premium;;;;
152;SI1;I;6;7;0.74;61.3;56;2769;5.82;5.86;3.57;4;Ideal;;;;
153;VS2;D;1;6;0.71;62.5;60;2770;5.65;5.61;3.52;3;Premium;;;;
154;VS2;G;4;6;0.73;61.4;59;2770;5.83;5.76;3.56;3;Premium;;;;
155;SI1;F;3;7;0.76;62.9;57;2770;5.79;5.81;3.65;2;Very Good;;;;
156;SI2;D;1;8;0.76;62.4;57;2770;5.78;5.83;3.62;4;Ideal;;;;
157;SI1;F;3;7;0.71;60.7;56;2770;5.77;05.8;3.51;4;Ideal;;;;
158;VS2;G;4;6;0.73;60.7;58;2770;5.87;5.82;3.55;3;Premium;;;;
159;VS1;G;4;5;0.73;61.5;58;2770;5.79;5.75;3.55;3;Premium;;;;
160;SI2;D;1;8;0.73;59.9;57;2770;5.92;5.89;3.54;4;Ideal;;;;
161;VS2;G;4;6;0.73;59.2;59;2770;5.92;5.87;3.49;3;Premium;;;;
162;VVS2;H;5;4;0.72;60.3;56;2771;5.81;5.83;3.51;2;Very Good;;;;
163;SI1;F;3;7;0.73;61.7;60;2771;5.79;5.82;3.58;2;Very Good;;;;
164;VS2;G;4;6;0.71;61.9;57;2771;5.73;5.77;3.56;4;Ideal;;;;
165;SI2;F;3;8;0.79;61.9;55;2771;5.97;5.92;3.68;4;Ideal;;;;
166;VVS1;H;5;3;0.73;60.4;59;2772;5.83;5.89;3.54;2;Very Good;;;;
167;SI2;F;3;8;0.8;61;57;2772;06.1;06.3;3.67;2;Very Good;;;;
168;VVS1;G;4;3;0.58;61.5;55;2772;5.39;5.44;3.33;4;Ideal;;;;
169;VVS1;F;3;3;0.58;61.7;56;2772;5.33;5.37;03.3;4;Ideal;;;;
170;VS2;E;2;6;0.71;59.2;61;2772;05.8;5.88;3.46;1;Good;;;;
171;SI2;D;1;8;0.75;61.3;56;2773;5.85;5.89;03.6;4;Ideal;;;;
172;VS2;D;1;6;0.7;58;62;2773;5.87;5.78;3.38;3;Premium;;;;
173;I1;J;7;9;1.17;60.2;61;2774;6.83;06.9;4.13;2;Very Good;;;;
174;VS1;E;2;5;0.6;61.7;55;2774;5.41;5.44;3.35;4;Ideal;;;;
175;SI1;E;2;7;0.7;62.7;55;2774;5.68;5.74;3.58;4;Ideal;;;;
176;VS2;I;6;6;0.83;64.6;54;2774;5.85;5.88;3.79;1;Good;;;;
177;VS2;F;3;6;0.74;61.3;61;2775;05.8;5.84;3.57;2;Very Good;;;;
178;VS2;G;4;6;0.72;63.7;56.4;2776;5.62;5.69;3.61;2;Very Good;;;;
179;VS2;E;2;6;0.71;62.7;58;2776;5.74;5.68;3.58;3;Premium;;;;
180;VS2;E;2;6;0.71;62.2;57;2776;5.79;5.62;3.55;4;Ideal;;;;
181;VVS2;E;2;4;0.54;61.6;56;2776;5.25;5.27;3.24;4;Ideal;;;;
182;VVS2;E;2;4;0.54;61.5;57;2776;5.24;5.26;3.23;4;Ideal;;;;
183;SI1;G;4;7;0.72;61.8;56;2776;5.72;5.75;3.55;4;Ideal;;;;
184;SI1;G;4;7;0.72;60.7;56;2776;5.79;5.82;3.53;4;Ideal;;;;
185;VS2;G;4;6;0.72;59.7;60.5;2776;05.8;5.84;3.47;1;Good;;;;
186;SI1;G;4;7;0.71;60.5;56;2776;05.8;5.76;03.5;4;Ideal;;;;
187;VS1;D;1;5;0.7;62.7;58;2777;5.66;5.73;3.57;2;Very Good;;;;
188;VS2;F;3;6;0.71;62.1;58;2777;5.67;05.7;3.53;3;Premium;;;;
189;VS2;F;3;6;0.71;62.8;57;2777;5.64;5.69;3.56;2;Very Good;;;;
190;VS2;F;3;6;0.71;63.8;58;2777;5.61;5.64;3.59;1;Good;;;;
191;VS2;F;3;6;0.71;57.8;60;2777;5.87;05.9;03.4;1;Good;;;;
192;VS2;E;2;6;0.7;62.1;55;2777;05.7;5.67;3.53;4;Ideal;;;;
193;VS2;E;2;6;0.7;61.1;60;2777;5.71;5.64;3.47;3;Premium;;;;
194;SI1;E;2;7;0.7;60;59;2777;5.79;5.75;3.46;3;Premium;;;;
195;SI1;E;2;7;0.7;61.2;57;2777;5.73;5.68;3.49;3;Premium;;;;
196;SI1;E;2;7;0.7;62.7;59;2777;5.67;5.63;3.54;3;Premium;;;;
197;SI1;E;2;7;0.7;61;57;2777;5.73;5.68;3.48;3;Premium;;;;
198;SI1;E;2;7;0.7;61;58;2777;5.78;5.72;3.51;3;Premium;;;;
199;SI1;E;2;7;0.7;61.4;57;2777;5.76;05.7;3.52;4;Ideal;;;;
200;SI1;F;3;7;0.72;61.8;61;2777;5.82;5.71;3.56;3;Premium;;;;
201;SI1;E;2;7;0.7;59.9;63;2777;5.76;05.7;3.43;2;Very Good;;;;
202;SI1;E;2;7;0.7;61.3;58;2777;5.71;5.68;3.49;3;Premium;;;;
203;SI1;E;2;7;0.7;60.5;58;2777;5.77;5.74;3.48;3;Premium;;;;
204;VS2;E;2;6;0.7;64.1;59;2777;5.64;5.59;03.6;1;Good;;;;
205;SI2;H;5;8;0.98;67.9;60;2777;06.5;5.97;04.8;0;Fair;;;;
206;SI1;F;3;7;0.78;62.4;58;2777;5.83;05.8;3.63;3;Premium;;;;
207;SI1;E;2;7;0.7;63.2;60;2777;05.6;5.51;3.51;2;Very Good;;;;
208;VVS1;F;3;3;0.52;61.3;55;2778;5.19;5.22;3.19;4;Ideal;;;;
209;VS2;H;5;6;0.73;60.8;56;2779;5.82;5.84;3.55;2;Very Good;;;;
210;SI1;E;2;7;0.74;61.7;56;2779;5.84;05.8;3.59;4;Ideal;;;;
211;VS2;F;3;6;0.7;63.6;57;2780;5.61;5.65;3.58;2;Very Good;;;;
212;VS2;G;4;6;0.77;61.2;58;2780;05.9;5.93;3.62;3;Premium;;;;
213;VS2;F;3;6;0.71;62.1;54;2780;5.68;5.72;3.54;4;Ideal;;;;
214;VS1;G;4;5;0.74;61.5;55;2780;5.81;5.86;3.59;4;Ideal;;;;
215;VS1;G;4;5;0.7;61.4;59;2780;5.64;5.73;3.49;4;Ideal;;;;
216;I1;F;3;9;01.1;61.8;60;2781;6.39;6.36;3.94;3;Premium;;;;
217;SI1;H;5;7;0.77;62.2;56;2781;5.83;5.88;3.64;4;Ideal;;;;
218;SI1;H;5;7;0.78;61.2;56;2781;5.92;5.99;3.64;4;Ideal;;;;
219;VS1;H;5;5;0.72;60.6;63;2782;5.83;5.76;3.51;2;Very Good;;;;
220;VVS2;D;1;4;0.53;57.5;64;2782;5.34;5.37;03.8;2;Very Good;;;;
221;VS2;G;4;6;0.76;61.3;56;2782;05.9;5.94;3.63;4;Ideal;;;;
222;VS1;E;2;5;0.7;57.2;62;2782;5.81;5.77;3.31;1;Good;;;;
223;VS1;E;2;5;0.7;62.9;60;2782;5.62;5.54;3.51;3;Premium;;;;
224;SI2;D;1;8;0.75;63.1;58;2782;5.78;5.73;3.63;2;Very Good;;;;
225;SI1;D;1;7;0.72;60.8;57;2782;5.76;5.75;03.5;4;Ideal;;;;
226;SI1;D;1;7;0.72;62.7;59;2782;5.73;5.69;3.58;3;Premium;;;;
227;SI1;D;1;7;0.7;62.8;60;2782;5.68;5.66;3.56;3;Premium;;;;
228;SI1;G;4;7;0.84;55.1;67;2782;6.39;06.2;3.47;0;Fair;;;;
229;SI1;F;3;7;0.75;61.4;59;2782;5.88;5.85;03.6;3;Premium;;;;
230;IF;F;3;2;0.52;62.2;55;2783;5.14;5.18;3.21;4;Ideal;;;;
231;VS2;F;3;6;0.72;63;54;2784;5.69;5.73;03.6;2;Very Good;;;;
232;VS1;H;5;5;0.79;63.7;56;2784;5.85;5.92;3.75;2;Very Good;;;;
233;VS2;F;3;6;0.72;63.6;58;2787;5.66;5.69;3.61;2;Very Good;;;;
234;VVS1;F;3;3;0.51;62;57;2787;05.11;5.15;3.18;4;Ideal;;;;
235;VS1;D;1;5;0.64;61.5;56;2787;5.54;5.55;3.41;4;Ideal;;;;
236;VVS1;H;5;3;0.7;60.5;60;2788;5.74;5.77;3.48;2;Very Good;;;;
237;VS1;I;6;5;0.83;61.1;60;2788;06.7;06.1;3.72;2;Very Good;;;;
238;VVS2;I;6;4;0.76;61.8;56;2788;5.85;5.87;3.62;4;Ideal;;;;
239;VS2;D;1;6;0.71;63.3;56;2788;5.64;5.68;3.58;1;Good;;;;
240;VS1;G;4;5;0.77;59.4;64;2788;5.97;5.92;3.53;1;Good;;;;
241;SI1;F;3;7;0.71;62.5;55;2788;5.71;5.65;3.55;4;Ideal;;;;
242;I1;E;2;9;01.1;64.5;58;2788;6.29;6.21;04.3;0;Fair;;;;
243;SI2;H;5;8;01.1;62.7;59;2788;6.31;6.22;3.93;3;Premium;;;;
244;SI1;F;3;7;0.77;64.2;52;2789;5.81;5.77;3.72;1;Good;;;;
245;SI1;E;2;7;0.76;63.7;54;2789;5.76;5.85;03.7;1;Good;;;;
246;SI1;E;2;7;0.76;60.4;58;2789;5.92;5.94;3.58;3;Premium;;;;
247;SI1;E;2;7;0.76;61.8;58;2789;5.82;5.86;3.61;3;Premium;;;;
248;SI2;J;7;8;01.5;63.2;56;2789;6.49;6.45;04.9;2;Very Good;;;;
249;SI2;G;4;8;0.81;61.6;56;2789;5.97;06.1;3.69;4;Ideal;;;;
250;SI1;E;2;7;0.7;61.6;56;2789;5.72;5.75;3.53;4;Ideal;;;;
251;IF;G;4;2;0.55;60.9;57;2789;5.28;05.3;3.22;4;Ideal;;;;
252;SI2;G;4;8;0.81;61;61;2789;5.94;5.99;3.64;1;Good;;;;
253;VVS2;E;2;4;0.63;62.1;57;2789;5.48;5.41;3.38;3;Premium;;;;
254;VVS1;E;2;3;0.63;60.9;60;2789;5.55;5.52;3.37;3;Premium;;;;
255;VS1;H;5;5;0.77;61.3;60;2789;05.9;5.88;3.61;3;Premium;;;;
256;SI2;J;7;8;01.5;65.8;59;2789;6.41;6.27;4.18;0;Fair;;;;
257;IF;G;4;2;0.64;61.3;56;2790;5.54;5.58;3.41;4;Ideal;;;;
258;VVS1;I;6;3;0.76;58.8;59;2790;6;5.94;3.51;3;Premium;;;;
259;SI2;F;3;8;0.83;62.3;55;2790;06.2;06.5;3.76;4;Ideal;;;;
260;VS1;F;3;5;0.71;60.1;62;2790;5.77;5.74;3.46;3;Premium;;;;
261;VS1;F;3;5;0.71;61.8;59;2790;5.73;5.69;3.53;3;Premium;;;;
262;SI1;I;6;7;0.87;63.6;55.8;2791;06.7;06.1;3.87;2;Very Good;;;;
263;SI1;E;2;7;0.73;62.2;56;2791;5.74;5.78;3.58;4;Ideal;;;;
264;SI1;E;2;7;0.71;59.2;59;2792;5.83;5.86;3.46;3;Premium;;;;
265;SI1;E;2;7;0.71;61.8;59;2792;05.7;5.75;3.54;3;Premium;;;;
266;SI1;E;2;7;0.71;61.3;55;2792;5.72;5.77;3.52;4;Ideal;;;;
267;VS1;F;3;5;0.7;62.1;60;2792;5.71;5.65;3.53;3;Premium;;;;
268;VS1;F;3;5;0.7;60.7;60;2792;5.78;5.75;03.5;3;Premium;;;;
269;VVS2;H;5;4;0.76;59.6;57;2792;5.91;5.86;3.51;3;Premium;;;;
270;VS1;F;3;5;0.7;62.2;56;2792;5.73;5.68;3.55;4;Ideal;;;;
271;SI1;G;4;7;0.79;60.6;57;2793;5.98;06.6;3.65;2;Very Good;;;;
272;VS2;E;2;6;0.7;62.9;57;2793;5.66;5.69;3.57;2;Very Good;;;;
273;VS2;E;2;6;0.7;64.1;55;2793;05.6;5.66;3.61;1;Good;;;;
274;VS2;I;6;6;0.76;61.3;56;2793;5.87;5.91;3.61;4;Ideal;;;;
275;VS2;H;5;6;0.73;62.7;55;2793;5.72;5.76;03.6;4;Ideal;;;;
276;SI1;E;2;7;0.79;63.2;56;2794;5.91;5.86;3.72;2;Very Good;;;;
277;VS2;E;2;6;0.71;60.7;56;2795;5.81;5.82;3.53;2;Very Good;;;;
278;VVS2;I;6;4;0.81;61.9;60;2795;5.91;5.86;3.64;3;Premium;;;;
279;SI2;F;3;8;0.81;62.6;55;2795;5.92;5.96;3.72;4;Ideal;;;;
280;VS1;F;3;5;0.72;60.7;60;2795;5.74;5.72;3.48;1;Good;;;;
281;SI2;D;1;8;0.72;62;60;2795;5.73;5.69;3.54;3;Premium;;;;
282;IF;I;6;2;0.72;63;57;2795;5.72;05.7;03.6;3;Premium;;;;
283;VS2;H;5;6;0.81;58;59;2795;6.17;6.13;3.57;3;Premium;;;;
284;VS2;G;4;6;0.72;62.9;57;2795;5.73;5.65;3.58;3;Premium;;;;
285;SI2;I;6;8;1;58.2;60;2795;6.61;6.55;3.83;3;Premium;;;;
286;SI1;E;2;7;0.73;63.2;58;2796;05.7;5.76;3.62;1;Good;;;;
287;SI2;H;5;8;0.81;61.3;59;2797;5.94;06.1;3.66;2;Very Good;;;;
288;SI1;E;2;7;0.81;60.3;60;2797;06.7;06.1;3.67;2;Very Good;;;;
289;SI1;D;1;7;0.71;62.7;60;2797;5.67;5.71;3.57;3;Premium;;;;
290;SI1;D;1;7;0.71;61.3;58;2797;5.73;5.75;3.52;3;Premium;;;;
291;SI1;D;1;7;0.71;61.6;60;2797;5.74;5.69;3.52;3;Premium;;;;
292;VVS2;F;3;4;0.57;61.9;55;2797;5.34;5.35;3.31;4;Ideal;;;;
293;VVS1;D;1;3;0.51;61.7;56;2797;05.12;5.16;3.17;4;Ideal;;;;
